event_id,detected_at,severity,anomaly_score,trigger_conditions,affected_topics,neg_ratio,mention_velocity,evidence_post_ids
ce_1878dc3b23ae,2026-03-10 01:00:00,MEDIUM,0.269341,"[""isolation_forest"", ""per_post_spike""]",[],1.0,4.0,"[""5048036"", ""5048293"", ""5048367""]"
ce_215e2c91c85f,2026-03-10 08:00:00,MEDIUM,0.252037,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""5048367""]"
ce_879261ffa980,2026-03-10 09:00:00,MEDIUM,0.250988,"[""isolation_forest"", ""per_post_spike""]",[],1.0,2.0,"[""5048367""]"
ce_e32bb7a678b0,2026-03-10 11:00:00,MEDIUM,0.250119,"[""isolation_forest"", ""per_post_spike""]",[],1.0,2.0,"[""5046758"", ""5048367""]"
ce_3bd0afb1a249,2026-03-11 16:00:00,MEDIUM,0.269802,"[""isolation_forest"", ""per_post_spike""]",[],1.0,4.0,"[""5046924"", ""5046047"", ""5048879""]"
ce_1960d7762e71,2026-03-12 22:00:00,MEDIUM,0.252545,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""5048774""]"
ce_8a908d3361c1,2026-03-12 23:00:00,MEDIUM,0.251429,"[""isolation_forest"", ""per_post_spike""]",[],1.0,2.0,"[""5048774"", ""5049438""]"
ce_42151d7d0082,2026-03-13 11:00:00,MEDIUM,0.274563,"[""global_spike_z2.28"", ""per_post_spike""]",[],0.666667,4.0,"[""5048774"", ""5049927"", ""5050112""]"
ce_91ee17d8e2b7,2026-03-13 12:00:00,HIGH,0.345372,"[""global_spike_z3.29"", ""per_post_spike""]",[],0.6,6.0,"[""5050112"", ""5048774""]"
ce_8b250cd6dc89,2026-03-14 00:00:00,MEDIUM,0.251198,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""5049698""]"
ce_99a370c4e90d,2026-03-14 04:00:00,MEDIUM,0.250405,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""5049698""]"
ce_53e584b2b00b,2026-03-14 10:00:00,MEDIUM,0.250101,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""5049698""]"
ce_7927867ddd86,2026-03-17 01:00:00,MEDIUM,0.267801,"[""global_spike_z2.12"", ""per_post_spike""]",[],0.583333,7.0,"[""5050537"", ""5044214"", ""5050671""]"
ce_dab0aef49a94,2026-03-19 19:00:00,MEDIUM,0.25262,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""5052003""]"
ce_9c506536442e,2026-03-20 04:00:00,MEDIUM,0.263645,"[""isolation_forest"", ""per_post_spike""]",[],1.0,3.0,"[""5051038"", ""5051652"", ""5052003""]"
ce_8d6f3911bcc8,2026-03-20 08:00:00,MEDIUM,0.251234,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""5052003""]"
ce_fa6d8a6131df,2026-03-21 23:00:00,LOW,0.245235,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""5053088""]"
ce_a25fa2e3aca8,2026-03-22 02:00:00,LOW,0.244081,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""5053088""]"
ce_a5af160422e4,2026-03-22 03:00:00,LOW,0.242871,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""5053088""]"
ce_60d1a82fe16b,2026-03-23 00:00:00,LOW,0.239277,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""5053358""]"
ce_d3940324b521,2026-03-24 14:00:00,LOW,0.234124,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""5054170""]"
ce_b58e76ad5a35,2026-03-25 12:00:00,LOW,0.232229,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""5054547""]"
ce_908ab6952c5f,2026-03-27 05:00:00,MEDIUM,0.291805,"[""global_spike_z3.29"", ""per_post_spike""]",[],0.583333,3.0,"[""5055319""]"
ce_57c86183241d,2026-03-27 07:00:00,HIGH,0.30086,"[""global_spike_z2.85"", ""per_post_spike""]",[],0.636364,4.0,"[""5055319""]"
ce_ae81b9ef061e,2026-03-27 13:00:00,HIGH,0.514595,"[""isolation_forest"", ""global_spike_z3.13"", ""per_post_spike""]",[],1.0,4.0,"[""5054547"", ""5055319"", ""5055425""]"
ce_fbcb2ea4818e,2026-03-29 01:00:00,LOW,0.201124,"[""global_spike_z2.21"", ""per_post_spike""]",[],0.555556,3.0,"[""5055797""]"
ce_6261af3cea3b,2026-03-29 06:00:00,HIGH,0.32152,"[""global_spike_z2.65"", ""per_post_spike""]",[],0.727273,3.0,"[""5054547"", ""5055797""]"
ce_77ee1cae2b44,2026-03-29 11:00:00,HIGH,0.380232,"[""global_spike_z2.26"", ""per_post_spike""]",[],0.9,3.0,"[""5054547""]"
ce_1368dc0e3889,2026-03-29 22:00:00,LOW,0.228968,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""5055655""]"
ce_e87e5fc0a59c,2026-03-30 03:00:00,HIGH,0.315993,"[""isolation_forest"", ""global_spike_z2.51"", ""per_post_spike""]",[],0.636364,6.0,"[""5056032"", ""5056026""]"
ce_7ae66f62f22b,2026-03-30 04:00:00,HIGH,0.339376,"[""global_spike_z2.75"", ""per_post_spike""]",[],0.75,3.0,"[""5055655""]"
ce_b8d1dbc43fb1,2026-03-30 05:00:00,HIGH,0.337054,"[""global_spike_z2.73"", ""per_post_spike""]",[],0.75,3.0,"[""5055655""]"
ce_430934081b52,2026-03-30 10:00:00,HIGH,0.373255,"[""global_spike_z3.20"", ""per_post_spike""]",[],0.714286,4.0,"[""5054547"", ""5056032"", ""5056430""]"
ce_9698c65ad1e9,2026-03-30 23:00:00,LOW,0.228292,"[""isolation_forest"", ""per_post_spike""]",[],1.0,1.0,"[""5056505""]"
ce_75df7b65f635,2026-03-31 00:00:00,HIGH,0.461512,"[""isolation_forest"", ""global_spike_z4.04"", ""per_post_spike""]",[],0.666667,7.0,"[""5056032"", ""5056430""]"
